# input: models/mlivr.xml
# output: models/generated/mlivr_inertial_err_10_seed02.xml
# error_level: ±10.0%
# seed: 2

index,body_name,scale,old_mass,new_mass,old_diaginertia,new_diaginertia
0,base_link,1.091206854,20,21.82413709,"0.133333 0.133333 0.133333","0.1454938835 0.1454938835 0.1454938835"
1,limb_1_base_inertia,1.089565497,4,4.35826199,"0.00443333 0.00443333 0.0072","0.004830403407 0.004830403407 0.007844871581"
2,limb_1_shoulder_link,0.9113102735,3.7,3.371848012,"0.0102675 0.0102675 0.00666","0.009356878234 0.009356878234 0.006069326422"
3,limb_1_upper_arm_link,0.916974399,8.393,7.696166131,"0.133886 0.133886 0.0151074","0.1227700344 0.1227700344 0.01385309904"
4,limb_1_forearm_link,1.067099776,2.275,2.42765199,"0.0311796 0.0311796 0.004095","0.03327174416 0.03327174416 0.004369773581"
5,limb_1_wrist_1_link,1.047193998,1.219,1.276529483,"0.0025599 0.0025599 0.0021942","0.002680711915 0.002680711915 0.00229775307"
6,limb_1_wrist_2_link,1.03394608,1.219,1.260380272,"0.0025599 0.0025599 0.0021942","0.002646798571 0.002646798571 0.002268684489"
7,limb_1_wrist_3_link,0.9616272915,0.1879,0.1806897681,"0.000132117 9.89041e-05 9.89041e-05","0.0001270473129 9.51088818e-05 9.51088818e-05"
8,limb_1_gripper_link,1.021188833,0.5,0.5105944166,"0.000225 0.0002167 0.0002167","0.0002297674875 0.0002212916201 0.0002212916201"
9,limb_2_base_inertia,1.021360347,4,4.085441387,"0.00443333 0.00443333 0.0072","0.004528027466 0.004528027466 0.007353794496"
10,limb_2_shoulder_link,1.016240803,3.7,3.760090973,"0.0102675 0.0102675 0.00666","0.01043425245 0.01043425245 0.006768163751"
11,limb_2_upper_arm_link,0.9316765741,8.393,7.819561486,"0.133886 0.133886 0.0151074","0.1247384498 0.1247384498 0.01407521067"
12,limb_2_forearm_link,0.9861339281,2.275,2.243454686,"0.0311796 0.0311796 0.004095","0.03074726142 0.03074726142 0.004038218435"
13,limb_2_wrist_1_link,0.978706364,1.219,1.193043058,"0.0025599 0.0025599 0.0021942","0.002505390421 0.002505390421 0.002147477504"
14,limb_2_wrist_2_link,1.044602416,1.219,1.273370345,"0.0025599 0.0025599 0.0021942","0.002674077725 0.002674077725 0.002292066622"
15,limb_2_wrist_3_link,1.098963913,0.1879,0.2064953192,"0.000132117 9.89041e-05 9.89041e-05","0.0001451918152 0.0001086920367 0.0001086920367"
16,limb_2_gripper_link,1.089879095,0.5,0.5449395473,"0.000225 0.0002167 0.0002167","0.0002452227963 0.0002361767998 0.0002361767998"
