# input: models/mlivr.xml
# output: models/generated/mlivr_inertial_err_20_seed02.xml
# error_level: ±20.0%
# seed: 2

index,body_name,scale,old_mass,new_mass,old_diaginertia,new_diaginertia
0,base_link,1.182413709,20,23.64827418,"0.133333 0.133333 0.133333","0.157654767 0.157654767 0.157654767"
1,limb_1_base_inertia,1.179130995,4,4.716523979,"0.00443333 0.00443333 0.0072","0.005227476813 0.005227476813 0.008489743163"
2,limb_1_shoulder_link,0.8226205471,3.7,3.043696024,"0.0102675 0.0102675 0.00666","0.008446256467 0.008446256467 0.005478652844"
3,limb_1_upper_arm_link,0.8339487981,8.393,6.999332262,"0.133886 0.133886 0.0151074","0.1116540688 0.1116540688 0.01259879807"
4,limb_1_forearm_link,1.134199551,2.275,2.580303979,"0.0311796 0.0311796 0.004095","0.03536388833 0.03536388833 0.004644547162"
5,limb_1_wrist_1_link,1.094387996,1.219,1.334058967,"0.0025599 0.0025599 0.0021942","0.00280152383 0.00280152383 0.00240130614"
6,limb_1_wrist_2_link,1.067892161,1.219,1.301760544,"0.0025599 0.0025599 0.0021942","0.002733697142 0.002733697142 0.002343168979"
7,limb_1_wrist_3_link,0.923254583,0.1879,0.1734795362,"0.000132117 9.89041e-05 9.89041e-05","0.0001219776257 9.131366361e-05 9.131366361e-05"
8,limb_1_gripper_link,1.042377666,0.5,0.5211888331,"0.000225 0.0002167 0.0002167","0.0002345349749 0.0002258832403 0.0002258832403"
9,limb_2_base_inertia,1.042720693,4,4.170882774,"0.00443333 0.00443333 0.0072","0.004622724932 0.004622724932 0.007507588993"
10,limb_2_shoulder_link,1.032481607,3.7,3.820181945,"0.0102675 0.0102675 0.00666","0.0106010049 0.0106010049 0.006876327502"
11,limb_2_upper_arm_link,0.8633531481,8.393,7.246122972,"0.133886 0.133886 0.0151074","0.1155908996 0.1155908996 0.01304302135"
12,limb_2_forearm_link,0.9722678561,2.275,2.211909373,"0.0311796 0.0311796 0.004095","0.03031492285 0.03031492285 0.003981436871"
13,limb_2_wrist_1_link,0.9574127281,1.219,1.167086116,"0.0025599 0.0025599 0.0021942","0.002450880843 0.002450880843 0.002100755008"
14,limb_2_wrist_2_link,1.089204832,1.219,1.327740691,"0.0025599 0.0025599 0.0021942","0.002788255451 0.002788255451 0.002389933243"
15,limb_2_wrist_3_link,1.197927825,0.1879,0.2250906384,"0.000132117 9.89041e-05 9.89041e-05","0.0001582666305 0.0001184799734 0.0001184799734"
16,limb_2_gripper_link,1.179758189,0.5,0.5898790946,"0.000225 0.0002167 0.0002167","0.0002654455926 0.0002556535996 0.0002556535996"
