# input: models/mlivr.xml
# output: models/generated/mlivr_inertial_err_20_seed00.xml
# error_level: ±20.0%
# seed: 0

index,body_name,scale,old_mass,new_mass,old_diaginertia,new_diaginertia
0,base_link,1.137768741,20,22.75537481,"0.133333 0.133333 0.133333","0.1517021195 0.1517021195 0.1517021195"
1,limb_1_base_inertia,1.103181761,4,4.412727045,"0.00443333 0.00443333 0.0072","0.004890768797 0.004890768797 0.00794290868"
2,limb_1_shoulder_link,0.9682286323,3.7,3.58244594,"0.0102675 0.0102675 0.00666","0.009941287482 0.009941287482 0.006448402691"
3,limb_1_upper_arm_link,0.9035667001,8.393,7.583635314,"0.133886 0.133886 0.0151074","0.1209749312 0.1209749312 0.01365054357"
4,limb_1_forearm_link,1.004509889,2.275,2.285259996,"0.0311796 0.0311796 0.004095","0.03132021652 0.03132021652 0.004113467994"
5,limb_1_wrist_1_link,0.961973655,1.219,1.172645885,"0.0025599 0.0025599 0.0021942","0.002462556359 0.002462556359 0.002110762594"
6,limb_1_wrist_2_link,1.113519436,1.219,1.357380192,"0.0025599 0.0025599 0.0021942","0.002850498403 0.002850498403 0.002443284346"
7,limb_1_wrist_3_link,0.9213250904,0.1879,0.1731169845,"0.000132117 9.89041e-05 9.89041e-05","0.000121722707 9.112282888e-05 9.112282888e-05"
8,limb_1_gripper_link,0.9906387817,0.5,0.4953193908,"0.000225 0.0002167 0.0002167","0.0002228937259 0.000214671424 0.000214671424"
9,limb_2_base_inertia,1.033352816,4,4.133411263,"0.00443333 0.00443333 0.0072","0.004581194039 0.004581194039 0.007440140274"
10,limb_2_shoulder_link,1.163245154,3.7,4.30400707,"0.0102675 0.0102675 0.00666","0.01194361962 0.01194361962 0.007747212726"
11,limb_2_upper_arm_link,1.001874742,8.393,8.408734712,"0.133886 0.133886 0.0151074","0.1341370018 0.1341370018 0.01513572248"
12,limb_2_forearm_link,0.9127351378,2.275,2.076472438,"0.0311796 0.0311796 0.004095","0.0284587165 0.0284587165 0.003737650389"
13,limb_2_wrist_1_link,1.102321682,1.219,1.34373013,"0.0025599 0.0025599 0.0021942","0.002821833273 0.002821833273 0.002418714234"
14,limb_2_wrist_2_link,1.047347599,1.219,1.276716723,"0.0025599 0.0025599 0.0021942","0.002681105118 0.002681105118 0.002298090101"
15,limb_2_wrist_3_link,0.9002025365,0.1879,0.1691480566,"0.000132117 9.89041e-05 9.89041e-05","0.0001189320585 8.903372169e-05 8.903372169e-05"
16,limb_2_gripper_link,1.163898502,0.5,0.5819492512,"0.000225 0.0002167 0.0002167","0.000261877163 0.0002522168055 0.0002522168055"
