# input: models/mlivr.xml
# output: models/generated/mlivr_inertial_err_10_seed03.xml
# error_level: ±10.0%
# seed: 3

index,body_name,scale,old_mass,new_mass,old_diaginertia,new_diaginertia
0,base_link,0.9475929254,20,18.95185851,"0.133333 0.133333 0.133333","0.1263454075 0.1263454075 0.1263454075"
1,limb_1_base_inertia,1.008845845,4,4.03538338,"0.00443333 0.00443333 0.0072","0.00447254655 0.00447254655 0.007263690084"
2,limb_1_shoulder_link,0.9739910333,3.7,3.603766823,"0.0102675 0.0102675 0.00666","0.01000045293 0.01000045293 0.006486780282"
3,limb_1_upper_arm_link,1.020784008,8.393,8.567440177,"0.133886 0.133886 0.0151074","0.1366686877 0.1366686877 0.01542139232"
4,limb_1_forearm_link,1.025144061,2.275,2.332202738,"0.0311796 0.0311796 0.004095","0.03196358176 0.03196358176 0.004197964929"
5,limb_1_wrist_1_link,0.9131057718,1.219,1.113075936,"0.0025599 0.0025599 0.0021942","0.002337459465 0.002337459465 0.002003536685"
6,limb_1_wrist_2_link,0.9026335983,1.219,1.100310356,"0.0025599 0.0025599 0.0021942","0.002310651748 0.002310651748 0.001980558641"
7,limb_1_wrist_3_link,1.067493816,0.1879,0.2005820881,"0.000132117 9.89041e-05 9.89041e-05","0.0001410340805 0.0001055795152 0.0001055795152"
8,limb_1_gripper_link,0.9518708029,0.5,0.4759354014,"0.000225 0.0002167 0.0002167","0.0002141709306 0.000206270403 0.000206270403"
9,limb_2_base_inertia,0.9468661922,4,3.787464769,"0.00443333 0.00443333 0.0072","0.004197770296 0.004197770296 0.006817436584"
10,limb_2_shoulder_link,1.099128967,3.7,4.066777178,"0.0102675 0.0102675 0.00666","0.01128530667 0.01128530667 0.007320198921"
11,limb_2_upper_arm_link,0.9940527015,8.393,8.343084324,"0.133886 0.133886 0.0151074","0.13308974 0.13308974 0.01501755178"
12,limb_2_forearm_link,1.06729229,2.275,2.42808996,"0.0311796 0.0311796 0.004095","0.03327774669 0.03327774669 0.004370561929"
13,limb_2_wrist_1_link,0.9952706417,1.219,1.213234912,"0.0025599 0.0025599 0.0021942","0.002547793316 0.002547793316 0.002183822842"
14,limb_2_wrist_2_link,1.027813628,1.219,1.252904813,"0.0025599 0.0025599 0.0021942","0.002631100107 0.002631100107 0.002255228663"
15,limb_2_wrist_3_link,0.9301232848,0.1879,0.1747701652,"0.000132117 9.89041e-05 9.89041e-05","0.000122885098 9.199300637e-05 9.199300637e-05"
16,limb_2_gripper_link,1.026972132,0.5,0.5134860658,"0.000225 0.0002167 0.0002167","0.0002310687296 0.0002225448609 0.0002225448609"
