# input: models/mlivr.xml
# output: models/generated/mlivr_inertial_err_10_seed00.xml
# error_level: ±10.0%
# seed: 0

index,body_name,scale,old_mass,new_mass,old_diaginertia,new_diaginertia
0,base_link,1.06888437,20,21.37768741,"0.133333 0.133333 0.133333","0.1425175597 0.1425175597 0.1425175597"
1,limb_1_base_inertia,1.051590881,4,4.206363522,"0.00443333 0.00443333 0.0072","0.004662049399 0.004662049399 0.00757145434"
2,limb_1_shoulder_link,0.9841143162,3.7,3.64122297,"0.0102675 0.0102675 0.00666","0.01010439374 0.01010439374 0.006554201346"
3,limb_1_upper_arm_link,0.9517833501,8.393,7.988317657,"0.133886 0.133886 0.0151074","0.1274304656 0.1274304656 0.01437897178"
4,limb_1_forearm_link,1.002254944,2.275,2.280129998,"0.0311796 0.0311796 0.004095","0.03124990826 0.03124990826 0.004104233997"
5,limb_1_wrist_1_link,0.9809868275,1.219,1.195822943,"0.0025599 0.0025599 0.0021942","0.00251122818 0.00251122818 0.002152481297"
6,limb_1_wrist_2_link,1.056759718,1.219,1.288190096,"0.0025599 0.0025599 0.0021942","0.002705199202 0.002705199202 0.002318742173"
7,limb_1_wrist_3_link,0.9606625452,0.1879,0.1805084922,"0.000132117 9.89041e-05 9.89041e-05","0.0001269198535 9.501346444e-05 9.501346444e-05"
8,limb_1_gripper_link,0.9953193908,0.5,0.4976596954,"0.000225 0.0002167 0.0002167","0.0002239468629 0.000215685712 0.000215685712"
9,limb_2_base_inertia,1.016676408,4,4.066705632,"0.00443333 0.00443333 0.0072","0.004507262019 0.004507262019 0.007320070137"
10,limb_2_shoulder_link,1.081622577,3.7,4.002003535,"0.0102675 0.0102675 0.00666","0.01110555981 0.01110555981 0.007203606363"
11,limb_2_upper_arm_link,1.000937371,8.393,8.400867356,"0.133886 0.133886 0.0151074","0.1340115009 0.1340115009 0.01512156124"
12,limb_2_forearm_link,0.9563675689,2.275,2.175736219,"0.0311796 0.0311796 0.004095","0.02981915825 0.02981915825 0.003916325195"
13,limb_2_wrist_1_link,1.051160841,1.219,1.281365065,"0.0025599 0.0025599 0.0021942","0.002690866636 0.002690866636 0.002306457117"
14,limb_2_wrist_2_link,1.023673799,1.219,1.247858361,"0.0025599 0.0025599 0.0021942","0.002620502559 0.002620502559 0.002246145051"
15,limb_2_wrist_3_link,0.9501012683,0.1879,0.1785240283,"0.000132117 9.89041e-05 9.89041e-05","0.0001255245293 9.396891085e-05 9.396891085e-05"
16,limb_2_gripper_link,1.081949251,0.5,0.5409746256,"0.000225 0.0002167 0.0002167","0.0002434385815 0.0002344584027 0.0002344584027"
