# input: models/mlivr.xml
# output: models/generated/mlivr_inertial_err_20_seed04.xml
# error_level: ±20.0%
# seed: 4

index,body_name,scale,old_mass,new_mass,old_diaginertia,new_diaginertia
0,base_link,0.8944192359,20,17.88838472,"0.133333 0.133333 0.133333","0.1192556 0.1192556 0.1192556"
1,limb_1_base_inertia,0.8412664137,4,3.365065655,"0.00443333 0.00443333 0.0072","0.00372961163 0.00372961163 0.006057118179"
2,limb_1_shoulder_link,0.958423297,3.7,3.546166199,"0.0102675 0.0102675 0.00666","0.009840611202 0.009840611202 0.006383099158"
3,limb_1_upper_arm_link,0.8619889083,8.393,7.234672908,"0.133886 0.133886 0.0151074","0.115408247 0.115408247 0.01302241123"
4,limb_1_forearm_link,0.8266060383,2.275,1.880528737,"0.0311796 0.0311796 0.004095","0.02577324563 0.02577324563 0.003384951727"
5,limb_1_wrist_1_link,0.9606364058,1.219,1.171015779,"0.0025599 0.0025599 0.0021942","0.002459133135 0.002459133135 0.002107828402"
6,limb_1_wrist_2_link,1.167182017,1.219,1.422794879,"0.0025599 0.0025599 0.0021942","0.002987869246 0.002987869246 0.002561030782"
7,limb_1_wrist_3_link,1.120180941,0.1879,0.2104819987,"0.000132117 9.89041e-05 9.89041e-05","0.0001479949453 0.0001107904878 0.0001107904878"
8,limb_1_gripper_link,1.106065041,0.5,0.5530325205,"0.000225 0.0002167 0.0002167","0.0002488646342 0.0002396842944 0.0002396842944"
9,limb_2_base_inertia,0.8887712703,4,3.555085081,"0.00443333 0.00443333 0.0072","0.003940216336 0.003940216336 0.006399153146"
10,limb_2_shoulder_link,1.014672003,3.7,3.754286412,"0.0102675 0.0102675 0.00666","0.01041814479 0.01041814479 0.006757715542"
11,limb_2_upper_arm_link,0.9106730574,8.393,7.643278971,"0.133886 0.133886 0.0151074","0.121926373 0.121926373 0.01375790215"
12,limb_2_forearm_link,0.8690658117,2.275,1.977124722,"0.0311796 0.0311796 0.004095","0.02709712438 0.02709712438 0.003558824499"
13,limb_2_wrist_1_link,0.842473317,1.219,1.026974973,"0.0025599 0.0025599 0.0021942","0.002156647444 0.002156647444 0.001848554952"
14,limb_2_wrist_2_link,0.885760173,1.219,1.079741651,"0.0025599 0.0025599 0.0021942","0.002267457467 0.002267457467 0.001943534972"
15,limb_2_wrist_3_link,1.170990253,0.1879,0.2200290685,"0.000132117 9.89041e-05 9.89041e-05","0.0001547077192 0.000115815737 0.000115815737"
16,limb_2_gripper_link,1.13156802,0.5,0.5657840098,"0.000225 0.0002167 0.0002167","0.0002546028044 0.0002452107898 0.0002452107898"
