# input: models/mlivr.xml
# output: models/generated/mlivr_inertial_err_20_seed01.xml
# error_level: ±20.0%
# seed: 1

index,body_name,scale,old_mass,new_mass,old_diaginertia,new_diaginertia
0,base_link,0.8537456976,20,17.07491395,"0.133333 0.133333 0.133333","0.1138324751 0.1138324751 0.1138324751"
1,limb_1_base_inertia,1.138973495,4,4.555893979,"0.00443333 0.00443333 0.0072","0.005049445364 0.005049445364 0.008200609162"
2,limb_1_shoulder_link,1.105509848,3.7,4.090386436,"0.0102675 0.0102675 0.00666","0.01135082236 0.01135082236 0.007362695585"
3,limb_1_upper_arm_link,0.9020276103,8.393,7.570717733,"0.133886 0.133886 0.0151074","0.1207688686 0.1207688686 0.01362729192"
4,limb_1_forearm_link,0.9981740348,2.275,2.270845929,"0.0311796 0.0311796 0.004095","0.03112266714 0.03112266714 0.004087522673"
5,limb_1_wrist_1_link,0.9797964259,1.219,1.194371843,"0.0025599 0.0025599 0.0021942","0.002508180871 0.002508180871 0.002149869318"
6,limb_1_wrist_2_link,1.060637189,1.219,1.292916733,"0.0025599 0.0025599 0.0021942","0.00271512514 0.00271512514 0.00232725012"
7,limb_1_wrist_3_link,1.11548934,0.1879,0.2096004471,"0.000132117 9.89041e-05 9.89041e-05","0.0001473751052 0.0001103264693 0.0001103264693"
8,limb_1_gripper_link,0.8375438347,0.5,0.4187719174,"0.000225 0.0002167 0.0002167","0.0001884473628 0.000181495749 0.000181495749"
9,limb_2_base_inertia,0.8113389906,4,3.245355962,"0.00443333 0.00443333 0.0072","0.003596933487 0.003596933487 0.005841640732"
10,limb_2_shoulder_link,1.134306042,3.7,4.196932354,"0.0102675 0.0102675 0.00666","0.01164648728 0.01164648728 0.007554478237"
11,limb_2_upper_arm_link,0.9731068272,8.393,8.1672856,"0.133886 0.133886 0.0151074","0.1302853807 0.1302853807 0.01470111408"
12,limb_2_forearm_link,1.104912033,2.275,2.513674875,"0.0311796 0.0311796 0.004095","0.03445071522 0.03445071522 0.004524614775"
13,limb_2_wrist_1_link,0.8008424213,1.219,0.9762269116,"0.0025599 0.0025599 0.0021942","0.002050076514 0.002050076514 0.001757208441"
14,limb_2_wrist_2_link,0.9781548776,1.219,1.192370796,"0.0025599 0.0025599 0.0021942","0.002503978671 0.002503978671 0.002146267432"
15,limb_2_wrist_3_link,1.088616013,0.1879,0.2045509488,"0.000132117 9.89041e-05 9.89041e-05","0.0001438246818 0.000107668587 0.000107668587"
16,limb_2_gripper_link,0.8915048885,0.5,0.4457524443,"0.000225 0.0002167 0.0002167","0.0002005885999 0.0001931891093 0.0001931891093"
