# input: models/mlivr.xml
# output: models/generated/mlivr_inertial_err_10_seed04.xml
# error_level: ±10.0%
# seed: 4

index,body_name,scale,old_mass,new_mass,old_diaginertia,new_diaginertia
0,base_link,0.9472096179,20,18.94419236,"0.133333 0.133333 0.133333","0.1262943 0.1262943 0.1262943"
1,limb_1_base_inertia,0.9206332068,4,3.682532827,"0.00443333 0.00443333 0.0072","0.004081470815 0.004081470815 0.006628559089"
2,limb_1_shoulder_link,0.9792116485,3.7,3.6230831,"0.0102675 0.0102675 0.00666","0.0100540556 0.0100540556 0.006521549579"
3,limb_1_upper_arm_link,0.9309944542,8.393,7.813836454,"0.133886 0.133886 0.0151074","0.1246471235 0.1246471235 0.01406490562"
4,limb_1_forearm_link,0.9133030191,2.275,2.077764369,"0.0311796 0.0311796 0.004095","0.02847642282 0.02847642282 0.003739975863"
5,limb_1_wrist_1_link,0.9803182029,1.219,1.195007889,"0.0025599 0.0025599 0.0021942","0.002509516568 0.002509516568 0.002151014201"
6,limb_1_wrist_2_link,1.083591009,1.219,1.32089744,"0.0025599 0.0025599 0.0021942","0.002773884623 0.002773884623 0.002377615391"
7,limb_1_wrist_3_link,1.06009047,0.1879,0.1991909994,"0.000132117 9.89041e-05 9.89041e-05","0.0001400559727 0.0001048472939 0.0001048472939"
8,limb_1_gripper_link,1.053032521,0.5,0.5265162603,"0.000225 0.0002167 0.0002167","0.0002369323171 0.0002281921472 0.0002281921472"
9,limb_2_base_inertia,0.9443856351,4,3.777542541,"0.00443333 0.00443333 0.0072","0.004186773168 0.004186773168 0.006799576573"
10,limb_2_shoulder_link,1.007336002,3.7,3.727143206,"0.0102675 0.0102675 0.00666","0.0103428224 0.0103428224 0.006708857771"
11,limb_2_upper_arm_link,0.9553365287,8.393,8.018139485,"0.133886 0.133886 0.0151074","0.1279061865 0.1279061865 0.01443265107"
12,limb_2_forearm_link,0.9345329059,2.275,2.126062361,"0.0311796 0.0311796 0.004095","0.02913836219 0.02913836219 0.003826912249"
13,limb_2_wrist_1_link,0.9212366585,1.219,1.122987487,"0.0025599 0.0025599 0.0021942","0.002358273722 0.002358273722 0.002021377476"
14,limb_2_wrist_2_link,0.9428800865,1.219,1.149370825,"0.0025599 0.0025599 0.0021942","0.002413678733 0.002413678733 0.002068867486"
15,limb_2_wrist_3_link,1.085495126,0.1879,0.2039645342,"0.000132117 9.89041e-05 9.89041e-05","0.0001434123596 0.0001073599185 0.0001073599185"
16,limb_2_gripper_link,1.06578401,0.5,0.5328920049,"0.000225 0.0002167 0.0002167","0.0002398014022 0.0002309553949 0.0002309553949"
