# input: models/mlivr.xml
# output: models/generated/mlivr_inertial_err_20_seed03.xml
# error_level: ±20.0%
# seed: 3

index,body_name,scale,old_mass,new_mass,old_diaginertia,new_diaginertia
0,base_link,0.8951858508,20,17.90371702,"0.133333 0.133333 0.133333","0.119357815 0.119357815 0.119357815"
1,limb_1_base_inertia,1.01769169,4,4.07076676,"0.00443333 0.00443333 0.0072","0.004511763101 0.004511763101 0.007327380169"
2,limb_1_shoulder_link,0.9479820666,3.7,3.507533646,"0.0102675 0.0102675 0.00666","0.009733405869 0.009733405869 0.006313560564"
3,limb_1_upper_arm_link,1.041568015,8.393,8.741880354,"0.133886 0.133886 0.0151074","0.1394513753 0.1394513753 0.01573538464"
4,limb_1_forearm_link,1.050288122,2.275,2.389405477,"0.0311796 0.0311796 0.004095","0.03274756352 0.03274756352 0.004300929858"
5,limb_1_wrist_1_link,0.8262115437,1.219,1.007151872,"0.0025599 0.0025599 0.0021942","0.002115018931 0.002115018931 0.001812873369"
6,limb_1_wrist_2_link,0.8052671966,1.219,0.9816207127,"0.0025599 0.0025599 0.0021942","0.002061403497 0.002061403497 0.001766917283"
7,limb_1_wrist_3_link,1.134987633,0.1879,0.2132641762,"0.000132117 9.89041e-05 9.89041e-05","0.0001499511611 0.0001122549303 0.0001122549303"
8,limb_1_gripper_link,0.9037416057,0.5,0.4518708029,"0.000225 0.0002167 0.0002167","0.0002033418613 0.000195840806 0.000195840806"
9,limb_2_base_inertia,0.8937323844,4,3.574929538,"0.00443333 0.00443333 0.0072","0.003962210592 0.003962210592 0.006434873168"
10,limb_2_shoulder_link,1.198257934,3.7,4.433554357,"0.0102675 0.0102675 0.00666","0.01230311334 0.01230311334 0.007980397842"
11,limb_2_upper_arm_link,0.988105403,8.393,8.293168647,"0.133886 0.133886 0.0151074","0.13229348 0.13229348 0.01492770357"
12,limb_2_forearm_link,1.134584581,2.275,2.581179921,"0.0311796 0.0311796 0.004095","0.03537589339 0.03537589339 0.004646123857"
13,limb_2_wrist_1_link,0.9905412835,1.219,1.207469825,"0.0025599 0.0025599 0.0021942","0.002535686632 0.002535686632 0.002173445684"
14,limb_2_wrist_2_link,1.055627256,1.219,1.286809625,"0.0025599 0.0025599 0.0021942","0.002702300213 0.002702300213 0.002316257326"
15,limb_2_wrist_3_link,0.8602465696,0.1879,0.1616403304,"0.000132117 9.89041e-05 9.89041e-05","0.000113653196 8.508191275e-05 8.508191275e-05"
16,limb_2_gripper_link,1.053944263,0.5,0.5269721317,"0.000225 0.0002167 0.0002167","0.0002371374592 0.0002283897219 0.0002283897219"
